Winary,Name,Literage,Price,Image_Url
Tikveš Châteaux & Domaines,Babuna Red 2021,0.75l,930,https://wine.mk/wp-content/uploads/2023/10/Tikves-Babuna-Red-Wine-0.75L-375x400.jpg
Tikveš Châteaux & Domaines,Babuna White 2022,0.75l,930,https://wine.mk/wp-content/uploads/2023/10/Tikves-Babuna-White-Wine-0.75L-375x400.jpg
Tikveš Châteaux & Domaines,Grenache Blanc 2021,0.75l,750,https://wine.mk/wp-content/uploads/2023/10/%D0%93%D1%80%D0%B5%D0%BD%D0%B0%D0%B6-%D0%B1%D0%BB%D0%B0%D0%BD%D0%BA-1-768x768-1-375x400.png
Tikveš Châteaux & Domaines,Rose 2022,0.75l,930,https://wine.mk/wp-content/uploads/2023/10/Rose-Barovo-375x400.jpg
Tikveš Châteaux & Domaines,Temjanika 2022,0.75l,930,https://wine.mk/wp-content/uploads/2023/10/Temjanika-Barovo-375x400.jpg
Kartal Winery,Vranec Late Harvest,0.75l,760,https://wine.mk/wp-content/uploads/2023/10/7-4-375x400.jpg
Iliev Winery,Cabernet Sauvignon 2021,0.75l,450,https://wine.mk/wp-content/uploads/2023/09/6-4-375x400.jpg
Iliev Winery,Syrah 2021,0.75l,499,https://wine.mk/wp-content/uploads/2023/09/4-4-375x400.jpg
Iliev Winery,Rose 2022,0.75l,450,https://wine.mk/wp-content/uploads/2023/09/3-5-375x400.jpg
Iliev Winery,Gewurtztraminer,0.75l,690,https://wine.mk/wp-content/uploads/2023/09/1-6-375x400.jpg
Iliev Winery,Riesling 2022,0.75l,499,https://wine.mk/wp-content/uploads/2023/09/2-4-375x400.jpg
Iliev Winery,Temjanika 2022,0.75l,450,https://wine.mk/wp-content/uploads/2023/09/5-4-375x400.jpg
Old School Winery,Merlot,0.75l,490,https://wine.mk/wp-content/uploads/2023/08/21-2-375x400.jpg
Old School Winery,Cabernet Sauvignon,0.75l,490,https://wine.mk/wp-content/uploads/2023/08/20-2-375x400.jpg
Kamnik Winary,Winemakers’ Selection 2020,0.375l,330,https://wine.mk/wp-content/uploads/2017/11/25-1-375x400.png
Old School Winery,R’kaciteli,0.75l,490,https://wine.mk/wp-content/uploads/2023/08/old-school-rkaciteli-1-1-375x400.jpg
Old School Winery,Temjanika,0.75l,430,https://wine.mk/wp-content/uploads/2023/08/5-3-375x400.jpg
Old School Winery,Chardonnay Oak Edition,0.75l,630,https://wine.mk/wp-content/uploads/2023/08/4-3-375x400.jpg
Paragon Winery,Chardonnay,0.75l,520,https://wine.mk/wp-content/uploads/2023/06/6-7-375x400.png
Paragon Winery,Temjanika,0.75l,520,https://wine.mk/wp-content/uploads/2023/06/7-5-375x400.png
